Level,Hierarchical structure,Code,Class title,Class definition
4,Unit group,1434,"Banking, insurance and other financial clerks","Banking, insurance and other financial clerks compile, process and maintain banking, insurance and other financial information. They are employed by banks, credit companies, private and public insurance establishments, investment firms and other financial establishments throughout the private and public sectors."
4,Unit group,1435,Collectors,"Collectors collect payments on overdue accounts and bad cheques and locate debtors to make collection arrangements. They are employed by collection agencies, utility companies, department stores, loan companies, banks and credit unions, and by financial and licensing departments within governments."
3,Minor group,145,"Library, correspondence and other clerks","This minor group includes library assistants and clerks, correspondence, publication and regulatory clerks, survey interviewers and statistical clerks. They are employed by libraries and other establishments with library services; newspapers, periodicals and publishing firms; and by market research and polling firms, government departments and agencies, utility companies, contact centres and other establishments throughout the public and private sectors."
4,Unit group,1451,Library assistants and clerks,"Library assistants and clerks issue and receive library materials, sort and shelve books and provide general library information to users. They also perform clerical functions. Library clerks are employed by libraries or other establishments with library services."
4,Unit group,1452,"Correspondence, publication and regulatory clerks","Correspondence, publication and regulatory clerks write correspondence, proofread material for accuracy, compile material for publication, verify, record and process forms and documents, such as applications, licences, permits, contracts, registrations and requisitions, and perform other related clerical duties in accordance with established procedures, guidelines and schedules. They are employed by newspapers, periodicals, publishing firms and by establishments throughout the private and public sectors."
4,Unit group,1454,Survey interviewers and statistical clerks,"Survey interviewers contact individuals to gather information for market research, public opinion polls or election and census enumeration. Statistical clerks code and compile interview and other data into reports, lists, directories and other documents. They are employed by market research and polling firms, government departments and agencies, utility companies, contact centres and other establishments. This unit group also includes clerks who observe and record information on traffic flow."
2,Major group,15,"Distribution, tracking and scheduling co-ordination occupations","This major group comprises distribution, tracking and scheduling co-ordination occupations usually requiring completion of secondary school. It includes mail, message distribution, supply chain logistics, tracking and scheduling co-ordination occupations."
3,Minor group,151,Mail and message distribution occupations,"This minor group includes mail, postal and related workers, letter carriers, couriers, messengers and door-to-door distributors. They are employed by Canada Post Corporation, courier and parcel express companies and establishments throughout the public and private sectors."
4,Unit group,1511,"Mail, postal and related workers","Mail, postal and related workers process and sort mail and parcels in post offices, mail processing plants and internal mail rooms, and clerks who serve customers and record transactions at sales counters and postal wickets. They are employed by Canada Post Corporation, courier and parcel express companies and establishments throughout the public and private sectors."
4,Unit group,1512,Letter carriers,"Letter carriers sort and deliver mail, record delivery of registered mail and collect money for cash-on-delivery parcels. They are employed by Canada Post Corporation."
4,Unit group,1513,"Couriers, messengers and door-to-door distributors","Couriers, messengers and door-to-door distributors pick up and deliver letters, parcels, packages, newspapers, flyers and other items within and between establishments. They are employed by courier service companies and other establishments throughout the private and public sectors."
3,Minor group,152,"Supply chain logistics, tracking and scheduling co-ordination occupations","This minor group includes shippers, receivers, storekeepers, partspersons, production logistics co-ordinators, purchasing and inventory control workers, dispatchers and transportation route and crew schedulers. They are employed by utility, manufacturing, construction, forestry and mining companies; retail, wholesale, commercial, industrial, transportation and other establishments; warehouses, repair shops and hospitals; printing and publishing companies; police, fire and other emergency services; taxi, delivery and courier services; and throughout the public and private sectors."
4,Unit group,1521,Shippers and receivers,"Shippers and receivers ship, receive and record the movement of parts, supplies, materials, equipment and stock to and from an establishment. They are employed in the public sector and by retail and wholesale establishments, manufacturing companies, and other commercial and industrial establishments."
4,Unit group,1522,Storekeepers and partspersons,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments."
4,Unit group,1523,Production logistics co-ordinators,"Production logistics co-ordinators co-ordinate and expedite the flow of work and materials within an establishment, prepare work and production schedules and monitor the progress of production and construction projects. They are employed by manufacturing and construction companies, printing and publishing companies and other industrial establishments."
4,Unit group,1524,Purchasing and inventory control workers,"Purchasing and inventory control workers process purchasing transactions and maintain inventories of materials, equipment and stock. They are employed by retail and wholesale establishments, manufacturing companies, government agencies and other establishments."
4,Unit group,1525,Dispatchers,"Dispatchers operate radios and other telecommunication equipment to dispatch emergency vehicles and to co-ordinate the activities of drivers and other personnel. They are employed by police, fire and health departments, other emergency service agencies, taxi, delivery and courier services, trucking and utilities companies, and other commercial and industrial establishments."
4,Unit group,1526,Transportation route and crew schedulers,"Transportation route and crew schedulers prepare operational and crew schedules for transportation equipment and operating personnel. They are employed by municipal transit commissions, truck, delivery and courier companies, railways, airlines and by other transportation establishments in both the private and public sectors."
1,Broad occupational category,2,Natural and applied sciences and related occupations,"This category includes occupations in sciences, engineering, architecture and information technology.  These occupations require post-secondary education in an appropriate scientific or technical discipline. Progression from technical to professional occupations usually requires additional education."
2,Major group,21,Professional occupations in natural and applied sciences,"This major group comprises professional occupations in natural and applied sciences. It includes professionals working in the physical sciences, life sciences, and engineering fields; and as architects, urban planners, land surveyors, mathematicians, statisticians, actuaries, and computer and information systems professionals."
3,Minor group,211,Physical science professionals,"This minor group includes physicists, astronomers, chemists, geoscientists, oceanographers, meteorologists, climatologists and other professional occupations in physical sciences. They are employed by manufacturing, processing, telecommunications, natural resource, and consulting companies; power utilities; research, development and quality control laboratories; the media; and a wide variety of health, educational, governmental and industrial establishments; or they may be self-employed."
4,Unit group,2111,Physicists and astronomers,"Physicists conduct theoretical and applied research to extend knowledge of natural phenomena and to develop new processes and devices in fields such as electronics, communications, power generation and distribution, aerodynamics, optics and lasers, remote sensing, biotechnology, medicine and health. They are employed by electronic, electrical and aerospace manufacturing companies, telecommunications companies, power utilities, university and government research laboratories, hospitals and by a wide range of other processing, manufacturing, and research and consulting firms. Astronomers conduct observational and theoretical research to extend knowledge of the universe. They are employed by government and universities."
4,Unit group,2112,Chemists,"Chemists conduct research and analysis in support of industrial operations, product and process development, quality control, environmental control, medical diagnosis and treatment, biotechnology, nanotechnology and other applications. They also conduct theoretical, experimental and applied research into basic chemical and biochemical processes to create or synthesize new products and processes. They are employed in research, development and quality control laboratories; chemical, petrochemical and pharmaceutical industries; mineral, metal and pulp and paper industries; and a wide variety of manufacturing, utility, health, educational and government establishments."
4,Unit group,2113,Geoscientists and oceanographers,"Geoscientists include geologists, geochemists and geophysicists who conduct programs of exploration and research to extend knowledge of the structure, composition and processes of the earth, to locate, identify and extract hydrocarbon, mineral and groundwater resources and to assess and mitigate the effects of development and waste disposal projects on the environment. Oceanographers conduct programs of exploration and research on ocean processes and phenomena, biological, chemical and physical characteristics of oceans, interactions with atmospheric and geological environments and impacts of human activity on oceans and marine ecosystems. Geoscientists are employed by petroleum and mining companies, consulting geology, geophysics and engineering firms and by governments and educational institutions, or they may be self-employed. Oceanographers are employed by governments, educational institutions and private companies engaged in exploration of seafloor deposits and seafarming areas, or they may be self-employed."
4,Unit group,2114,Meteorologists and climatologists,"Meteorologists and climatologists analyze and forecast weather, provide consultation on atmospheric phenomena and conduct research into the processes and phenomena of weather, climate and atmosphere. They are employed by all levels of government, natural resources and utility companies, the media and private consulting firms, or they may be self-employed."
4,Unit group,2115,Other professional occupations in physical sciences,"Professionals in other physical sciences occupations conduct theoretical and applied research in fields of physical science. Metallurgists, soil scientists and physical scientists and researchers are included in this unit group. They are employed by governments, educational institutions and a wide range of industrial establishments."
3,Minor group,212,Life science professionals,"This minor group includes biologists and related scientists, forestry professionals, agricultural representatives, consultants and specialists. They are employed by governments; consulting, agricultural, resource, utilities, chemical, pharmaceutical and biotechnical companies; agricultural, health and educational institutions; and forestry and other industries; or they may be self-employed."
4,Unit group,2121,Biologists and related scientists,"Biologists and related scientists conduct basic and applied research to extend knowledge of living organisms, to manage natural resources, and to develop new practices and products related to medicine and agriculture. They are employed in both laboratory and field settings by governments, environmental consulting companies, resource and utilities companies, chemical, pharmaceutical and biotechnical companies and health and educational institutions."
4,Unit group,2122,Forestry professionals,"Forestry professionals conduct research, develop plans and administer and direct programs related to the management and harvesting of forest resources. They are employed by the forest industry, provincial and federal governments, consulting companies, educational institutions and other industries, or they may be self-employed."
4,Unit group,2123,"Agricultural representatives, consultants and specialists","Agricultural representatives, consultants and specialists provide assistance and advice to farmers on all aspects of farm management, cultivation, fertilization, harvesting, soil erosion and composition, disease prevention, nutrition, crop rotation and marketing. They are employed by businesses, institutions and governments that assist the farming community, or they may be self-employed."
3,Minor group,213,"Civil, mechanical, electrical and chemical engineers","This minor group includes civil, mechanical, electrical, electronic, and chemical engineers. They are employed by governments; engineering, consulting, construction, and communications companies; power-generating utilities; a wide range of manufacturing, processing and transportation industries; and government, research and educational institutions; or they may be self-employed."
4,Unit group,2131,Civil engineers,"Civil engineers plan, design, develop and manage projects for the construction or repair of buildings, earth structures, powerhouses, roads, airports, railways, rapid transit facilities, bridges, tunnels, canals, dams, ports and coastal installations and systems related to highway and transportation services, water distribution and sanitation. Civil engineers may also specialize in foundation analysis, building and structural inspection, surveying, geomatics and municipal planning. They are employed by engineering consulting companies, in all levels of government, by construction firms and in many other industries, or they may be self-employed."
4,Unit group,2132,Mechanical engineers,"Mechanical engineers research, design and develop machinery and systems for heating, ventilating and air conditioning, power generation, transportation, processing and manufacturing. They also perform duties related to the evaluation, installation, operation and maintenance of mechanical systems. They are employed by consulting firms, by power-generating utilities and in a wide range of manufacturing, processing and transportation industries, or they may be self-employed."
4,Unit group,2133,Electrical and electronics engineers,"Electrical and electronics engineers design, plan, research, evaluate and test electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and by a wide range of manufacturing, processing and transportation industries and government."
4,Unit group,2134,Chemical engineers,"Chemical engineers research, design, and develop chemical processes and equipment, oversee the operation and maintenance of industrial chemical, plastics, pharmaceutical, resource, pulp and paper, and food processing plants and perform duties related to chemical quality control, environmental protection and biochemical or biotechnical engineering. They are employed in a wide range of manufacturing and processing industries, consulting firms, government, research and educational institutions."
3,Minor group,214,Other engineers,"This minor group includes industrial, manufacturing, metallurgical, materials, mining, geological, petroleum, aerospace, and computer engineers (except software engineers and designers), as well as other engineers not included elsewhere. They are employed by governments; consulting, engineering, mining, petroleum, well logging or testing, utilities, and telecommunications companies; in manufacturing and processing; by air transport carriers; and financial, health, research and educational institutions; or they may be self-employed."
4,Unit group,2141,Industrial and manufacturing engineers,"Industrial and manufacturing engineers conduct studies, and develop and supervise programs to achieve the best use of equipment, human resources, technology, materials and procedures to enhance efficiency and productivity. They are employed in consulting firms, manufacturing and processing companies, in government, financial, health care and other institutions, or they may be self-employed."
4,Unit group,2142,Metallurgical and materials engineers,"Metallurgical and materials engineers conduct studies of the properties and characteristics of metals and other non-metallic materials and plan, design and develop machinery and processes to concentrate, extract, refine and process metals, alloys and other materials such as ceramics, semiconductors and composite materials. They are employed in consulting engineering firms, mining, metal processing and manufacturing companies, and in government, research and educational institutions."
4,Unit group,2143,Mining engineers,"Mining engineers plan, design, organize and supervise the development of mines, mine facilities, systems and equipment; and prepare and supervise the extraction of metallic or non-metallic minerals and ores from underground or surface mines. They are employed by mining companies, consulting engineering companies, manufacturers, government and in educational and research institutions."
4,Unit group,2144,Geological engineers,"Geological engineers conduct geological and geotechnical studies to assess suitability of locations for civil engineering, mining and oil and gas projects; and plan, design, develop and supervise programs of geological data acquisition and analysis and the preparation of geological engineering reports and recommendations. They are employed in consulting engineering companies, electrical utilities, mining and petroleum companies and in government and research and educational institutions."
4,Unit group,2145,Petroleum engineers,"Petroleum engineers conduct studies for the exploration, development and extraction of oil and gas deposits; and plan, design, develop and supervise projects for the drilling, completion, testing and re-working of oil and gas wells. They are employed by petroleum producing companies, consulting companies, well logging or testing companies, government, and research and educational institutions."
4,Unit group,2146,Aerospace engineers,"Aerospace engineers research, design and develop aerospace vehicles, aerospace systems and their components, and perform duties related to their testing, evaluation, installation, operation and maintenance. They are employed by aircraft and spacecraft manufacturers, air transport carriers, and in government and educational and research institutions."
4,Unit group,2147,Computer engineers (except software engineers and designers),"Computer engineers (except software engineers and designers) research, plan, design, develop, modify, evaluate and integrate computer and telecommunications hardware and related equipment, and information and communication system networks including mainframe systems, local and wide area networks, fibre-optic networks, wireless communication networks, intranets, the Internet and other data communications systems. They are employed by computer and telecommunication hardware manufacturers, by engineering, manufacturing and telecommunications firms, in information technology consulting firms, by governmental, educational and research institutions and in information technology units throughout the private and public sectors."
4,Unit group,2148,"Other professional engineers, n.e.c.","Other professional engineers include agricultural and bioresource engineers, biomedical engineers, engineering physicists and engineering scientists, marine and naval engineers, textile engineers and other specialized engineering occupations."
3,Minor group,215,"Architects, urban planners and land surveyors","This minor group includes architects, landscape architects, urban and land use planners, and land surveyors. They are employed by governments; architectural, engineering, construction, real estate development, natural resource, landscape consulting, and other consulting companies; land developers and land surveying establishments; and government environmental and development agencies; or they may be self-employed."
4,Unit group,2151,Architects,"Architects conceptualize, plan and develop designs for the construction and renovation of commercial, institutional and residential buildings. They are employed by architectural firms, private corporations and governments, or they may be self-employed."
4,Unit group,2152,Landscape architects,"Landscape architects conceptualize, design, plan and manage the construction of natural, cultural and built landscape development for commercial projects, office complexes, parks, golf courses and residential development. They are employed by government environmental and development agencies, landscape consulting firms and by architectural and engineering firms, or they are self-employed."
4,Unit group,2153,Urban and land use planners,"Urban and land use planners develop plans and recommend policies for managing land use, physical facilities and associated services for urban and rural areas and remote regions. They are employed by all levels of government, land developers, engineering and other consulting companies, or may work as private consultants."
4,Unit group,2154,Land surveyors,"Land surveyors plan, direct and conduct legal surveys to establish the location of real property boundaries, contours and other natural or human-made features, and prepare and maintain cross-sectional drawings, official plans, records and documents pertaining to these surveys. They are employed by federal, provincial and municipal governments, private sector land surveying establishments, real estate development, natural resource, engineering and construction firms, or they may be self-employed."
3,Minor group,216,"Mathematicians, statisticians and actuaries","This minor group includes mathematicians, statisticians and actuaries. They are employed by universities, governments, bank and trust companies, insurance companies, pension benefit consulting firms, professional associations, and science and engineering consulting firms."
4,Unit group,2161,"Mathematicians, statisticians and actuaries","Mathematicians and statisticians research mathematical or statistical theories, and develop and apply mathematical or statistical techniques for solving problems in such fields as science, engineering, business and social science. Actuaries apply mathematics, statistics, probability and risk theory to assess potential financial impacts of future events. Mathematicians, statisticians and actuaries are employed by universities, governments, bank and trust companies, insurance companies, pension benefit consulting firms, professional associations, and science and engineering consulting firms."
3,Minor group,217,Computer and information systems professionals,"This minor group includes professionals working in computer and information systems. They are employed by computer software development and information technology consulting, research and development companies; advertising agencies; and in information technology units throughout the private and public sectors; or they may be self-employed."
4,Unit group,2171,Information systems analysts and consultants,"Information systems analysts and consultants analyze and test systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors, or they may be self-employed."
4,Unit group,2172,Database analysts and data administrators,"Database analysts design, develop and administer data management solutions using database management software. Data administrators develop and implement data administration policy, standards and models. They are employed in information technology consulting firms and in information technology units throughout the private and public sectors."
4,Unit group,2173,Software engineers and designers,"Software engineers and designers research, design, evaluate, integrate and maintain software applications, technical environments, operating systems, embedded software, information warehouses and telecommunications software. They are employed in information technology consulting firms, information technology research and development firms, and information technology units throughout the private and public sectors, or they may be self-employed."
4,Unit group,2174,Computer programmers and interactive media developers,"Computer programmers write, modify, integrate and test computer code for software applications, data processing applications, operating systems-level software and communications software. Interactive media developers write, modify, integrate and test computer code for Internet and mobile applications, computer-based training software, computer games, film, video and other interactive media. They are employed in computer software development firms, information technology consulting firms, and in information technology units throughout the private and public sectors."
4,Unit group,2175,Web designers and developers,"Web designers and developers research, design, develop and produce Internet and Intranet sites. They are employed in computer software development firms, information technology consulting firms, information technology units throughout the private and public sectors, advertising agencies or they may be self-employed."
2,Major group,22,Technical occupations related to natural and applied sciences,"This major group comprises technical occupations in natural and applied sciences. It includes technologists and technicians working in the fields of physical science, life science, engineering, architecture, urban planning, land surveying, mathematics, statistics, and actuarial science; and as computer and information systems technicians."
3,Minor group,221,Technical occupations in physical sciences,"This minor group includes chemical, geological and mineral technologists and technicians. They are employed by research and development and quality control laboratories; consulting geology and engineering firms, chemical, petrochemical, pharmaceutical, construction, petroleum and mining companies; utilities; in manufacturing and processing industries; and by government, health and educational establishments."
4,Unit group,2211,Chemical technologists and technicians,"Chemical technologists and technicians provide technical support and services or may work independently in chemical engineering, chemical and biochemical research and analysis, industrial chemistry, chemical quality control and environmental protection. They are employed by research and development and quality control laboratories, consulting engineering companies, in chemical, petrochemical, pharmaceutical and a variety of other manufacturing and processing industries, and by utilities, health, educational and government establishments."
4,Unit group,2212,Geological and mineral technologists and technicians,"Geological and mineral technologists and technicians provide technical support and services or may work independently in the fields of oil and gas exploration and production, geophysics, petroleum engineering, geology, mining and mining engineering, mineralogy, extractive and physical metallurgy, metallurgical engineering and environmental protection. They are employed by petroleum and mining companies, consulting geology and engineering firms, and by governments and educational institutions as well as by a variety of manufacturing, construction and utilities companies."
3,Minor group,222,Technical occupations in life sciences,"This minor group includes biological, forestry, landscape and horticulture technologists and technicians as well as agricultural and fish products inspectors and conservation and fisheries officers. They are employed by governments and government agencies; manufacturers of food products, chemicals and pharmaceuticals; biotechnology, resource, utilities, environmental and other consulting companies; health, research, educational and other institutions; forestry and other industries; landscape designers and contractors, lawn service and tree care establishments, golf courses, nurseries and greenhouses; and municipal, provincial and national parks; or they may be self-employed."
4,Unit group,2221,Biological technologists and technicians,"Biological technologists and technicians provide technical support and services to scientists, engineers and other professionals working in fields such as agriculture, resource management, environmental protection, plant and animal biology, microbiology, cell and molecular biology and health sciences, or may work independently in these fields. They are employed in both laboratory and field settings by governments, manufacturers of food products, chemicals and pharmaceuticals, biotechnology companies, health, research and educational institutions, environmental consulting companies, and resource and utilities companies."
4,Unit group,2222,Agricultural and fish products inspectors,"Agricultural and fish products inspectors inspect agricultural and fish products for conformity to prescribed production, storage and transportation standards. They are employed by government departments and agencies and by private sector food processing companies. Supervisors of agricultural and fish products inspectors are also included in this unit group."
4,Unit group,2223,Forestry technologists and technicians,"Forestry technologists and technicians may work independently or perform technical and supervisory functions in support of forestry research, forest management, forest harvesting, forest resource conservation and environmental protection. They are employed by the forest industry sector, provincial and federal governments, consulting firms, and other industries and institutions, or they may be self-employed."
4,Unit group,2224,Conservation and fishery officers,"Conservation and fishery officers, inspectors and observers enforce federal and provincial regulations established for the protection of fish, wildlife and other natural resources and collect and relay information on resource management. They are employed by federal and provincial government departments."
4,Unit group,2225,Landscape and horticulture technicians and specialists,"Landscape and horticulture technicians and specialists survey and assess landscapes; draw sketches and build models of landscape designs; construct and maintain gardens, parks, golf courses and other landscaped environments; advise clients on issues related to horticulture such as irrigation; breed, cultivate and study plants; and treat injured and diseased trees and plants. They are employed by landscape designers and contractors, lawn service and tree care establishments, golf courses, nurseries and greenhouses, and municipal, provincial and national parks, or they may be self-employed."
3,Minor group,223,"Technical occupations in civil, mechanical and industrial engineering","This minor group includes technologists and technicians working in civil, mechanical and industrial engineering. They are employed by public works, transportation and other government departments; consulting engineering, insurance, manufacturing, processing and residential, commercial and industrial construction companies; major electrical, mechanical and trade contractors; and in many other industries; or they may be self-employed."
4,Unit group,2231,Civil engineering technologists and technicians,"Civil engineering technologists and technicians provide technical support and services to scientists, engineers and other professionals, or may work independently in fields such as structural engineering, municipal engineering, construction design and supervision, highways and transportation engineering, water resources engineering, geotechnical engineering and environmental protection. They are employed by consulting engineering and construction companies, public works, transportation and other government departments and in many other industries."
4,Unit group,2232,Mechanical engineering technologists and technicians,"Mechanical engineering technologists and technicians provide technical support and services or may work independently in mechanical engineering fields such as the design, development, maintenance and testing of machines, components, tools, heating and ventilating systems, geothermal power plants, power generation and power conversion plants, manufacturing plants and equipment. They are employed by consulting engineering, manufacturing and processing companies, institutions and government departments."
4,Unit group,2233,Industrial engineering and manufacturing technologists and technicians,"Industrial engineering and manufacturing technologists and technicians may work independently or provide technical support and services in the development of production methods, facilities and systems, and the planning, estimating, measuring and scheduling of work. They are employed by manufacturing and insurance companies, government departments, and establishments in other industries."
4,Unit group,2234,Construction estimators,"Construction estimators analyze costs of and prepare estimates on civil engineering, architectural, structural, electrical and mechanical construction projects. They are employed by residential, commercial and industrial construction companies and major electrical, mechanical and trade contractors, or they may be self-employed."
3,Minor group,224,Technical occupations in electronics and electrical engineering,"This minor group includes technologists and technicians working in electrical and electronics engineering, household and business electronic equipment service and repair, industrial instrument repair and maintenance, and aircraft and avionics instrument repair, installation and maintenance. They are employed by governments ; electrical utilities; communications, consulting, pulp and paper processing, nuclear and hydro power generating, mining, petrochemical and natural gas, industrial instrument and other manufacturing companies; manufacturers of electrical and electronic equipment; and in a wide range of manufacturing, processing and transportation industries; by industrial instrument servicing, electronic service, and retail establishments; wholesale distributors; aircraft manufacturing, maintenance, repair and overhaul establishments; and by airlines and other aircraft operators."
4,Unit group,2241,Electrical and electronics engineering technologists and technicians,"Electrical and electronics engineering technologists and technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and in governments and a wide range of manufacturing, processing and transportation industries."
4,Unit group,2242,Electronic service technicians (household and business equipment),"Electronic service technicians service and repair household and business electronic equipment such as audio and video systems, computers and peripherals, office equipment and other consumer electronic equipment and assemblies. They are employed by electronic service and retail establishments, by wholesale distributors and within service departments of electronic manufacturing companies."
4,Unit group,2243,Industrial instrument technicians and mechanics,"Industrial instrument technicians and mechanics repair, maintain, calibrate, adjust, and install industrial measuring and controlling instrumentation. They are employed by pulp and paper processing companies, nuclear and hydro power generating companies, mining, petrochemical and natural gas companies, industrial instrument and other manufacturing companies, and by industrial instrument servicing establishments."
4,Unit group,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors install, adjust, repair and overhaul aircraft instrument, electrical or avionics systems on aircraft. This unit group also includes avionics inspectors who inspect instrument, electrical and avionics systems following assembly, modification, repair or overhaul. They are employed by aircraft manufacturing, maintenance, repair and overhaul establishments and by airlines and other aircraft operators."
3,Minor group,225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology","This minor group includes technologists and technicians working in architectural technology, civil design engineering, construction, manufacturing design, industrial design, land surveying, geomatics, and meteorology. They are employed by governments; architectural, design, engineering, construction, consulting, media, computer software, forestry, natural resources, utilities and transportation companies; surveying establishments; and in manufacturing industries; or they may be self-employed."
4,Unit group,2251,Architectural technologists and technicians,"Architectural technologists and technicians may work independently or provide technical assistance to professional architects and civil design engineers in conducting research, preparing drawings, architectural models, specifications and contracts and in supervising construction projects. They are employed by architectural and construction firms, and governments."
4,Unit group,2252,Industrial designers,Industrial designers conceptualize and produce designs for manufactured products. They are employed by manufacturing industries and private design firms or they may be self-employed.
4,Unit group,2253,Drafting technologists and technicians,"Drafting technologists and technicians prepare engineering designs, drawings and related technical information, in multidisciplinary engineering teams or in support of engineers, architects or industrial designers, or they may work independently. They are employed by consulting and construction companies, utility, resource and manufacturing companies, all levels of government and by a wide range of other establishments."
4,Unit group,2254,Land survey technologists and technicians,"Land survey technologists and technicians conduct or participate in surveys to determine the exact locations and relative positions of natural features and other structures on the earth's surface, underground and underwater. They are employed by all levels of government, architectural and engineering firms, and by private sector surveying establishments."
4,Unit group,2255,Technical occupations in geomatics and meteorology,"Technical occupations in geomatics include aerial survey, remote sensing, geographic information systems, cartographic and photogrammetric technologists and technicians, who gather, analyze, interpret and use geospatial information for applications in natural resources, geology, environmental research and land use planning. Meteorological technologists and technicians observe weather and atmospheric conditions, record, interpret, transmit and report on meteorological data, and provide weather information to the agricultural, natural resources and transportation industries and the public. Geomatics technologists and technicians are employed by all levels of government, utilities, mapping, computer software, forestry, architectural, engineering and consulting firms and other related establishments. Meteorological technologists and technicians are employed by all levels of government, the media, natural resources, utilities and transportation companies and consulting firms."
3,Minor group,226,Other technical inspectors and regulatory officers,"This minor group includes testers, inspection technicians, inspectors and regulatory officers working in non-destructive testing, transportation inspection, health and safety inspection, and construction inspection. They are employed by quality control, maintenance and safety departments of manufacturing, processing, transportation, energy, and other companies; civil engineering consulting, architectural and construction companies; throughout the private and public sectors ; and by private industrial inspection establishments; or they may be self-employed."
4,Unit group,2261,Non-destructive testers and inspection technicians,"Non-destructive testers and inspection technicians operate radiographic, ultrasonic, liquid penetrant, magnetic particle, eddy current and similar testing equipment to detect discontinuities in objects of various compositions and materials. They are employed by quality control, maintenance and safety departments of manufacturing, processing, transportation, energy and other companies and by private industrial inspection establishments."
4,Unit group,2262,Engineering inspectors and regulatory officers,"Engineering inspectors and regulatory officers inspect transportation vehicles such as aircraft, watercraft, automobiles and trucks and weighing and measuring devices such as scales and meters as well as industrial instruments, processes and equipment for conformity to government and industry standards and regulations. They are employed by government agencies and in the private sector."
4,Unit group,2263,Inspectors in public and environmental health and occupational health and safety,"Inspectors in public and environmental health and occupational health and safety evaluate and monitor health and safety hazards and develop strategies to control risks. They inspect restaurants, industrial establishments, municipal water systems, public facilities, institutions and other workplaces to ensure compliance with government regulations regarding sanitation, pollution control, the handling and storage of hazardous substances and workplace safety. They are employed throughout the public and private sectors."
4,Unit group,2264,Construction inspectors,"Construction inspectors inspect the construction and maintenance of new and existing buildings, bridges, highways and industrial construction to ensure that specifications and building codes are observed and monitor work site safety. They are employed by federal, provincial and municipal governments, construction companies, architectural and civil engineering consulting firms or they may be self-employed."
3,Minor group,227,Transportation officers and controllers,"This minor group includes air pilots, flight engineers, flight instructors, air traffic controllers, flight service specialists, flight dispatchers, water transport deck and engineer officers, railway traffic controllers, and marine traffic regulators working in air transportation, airport services, water transport, and railway transport. They are employed by airline, air freight, air services, and marine transportation companies; flying schools, and other public and private sector aircraft operators; port, harbour, canal, and lock authorities; and NAV Canada, the Canadian Armed Forces, the Canadian Coast Guard, and other federal government departments."
4,Unit group,2271,"Air pilots, flight engineers and flying instructors","Air pilots fly fixed wing aircraft and helicopters to provide air transportation and other services such as crop spraying and aerial surveying. Flight engineers assist air pilots with monitoring, troubleshooting and maintenance of aircraft systems and with pre- and post-flight inspections. Flying instructors teach flying techniques and procedures to student and licensed pilots. Air pilots, flight engineers and flight instructors are employed by airline and air freight companies, flying schools and by other public and private sector aircraft operators."
